"AAPL.High","AAPL.Open","AAPL.Close","AAPL.Low","AAPL.Volume","AAPL.Adjusted","AAPL.High.SMA50","AAPL.Open.SMA50","AAPL.Close.SMA50","AAPL.Low.SMA50","AAPL.Volume.SMA50","AAPL.Adjusted.SMA50","AAPL.High.SMA200","AAPL.Open.SMA200","AAPL.Close.SMA200","AAPL.Low.SMA200","AAPL.Volume.SMA200","AAPL.Adjusted.SMA200","crosses"
32.0825,32.047501,31.7925,31.7775,147544800,29.104137,32.32784998,32.09170014,32.06294994,31.81655014,184049728,29.29350864,NA,NA,NA,NA,NA,NA,NA
31.809999,31.525,31.73,31.4275,175955600,29.046923,32.33624998,32.09705014,32.07094994,31.82415012,184991232,29.3032182,NA,NA,NA,NA,NA,NA,NA
31.9625,31.7575,31.9,31.592501,125976400,29.202547,32.33794996,32.10985014,32.07219994,31.83435014,184535240,29.30678712,NA,NA,NA,NA,NA,NA,NA
31.969999,31.93,31.825001,31.684999,131672400,29.133894,32.33674996,32.11025014,32.07864994,31.8381501,184367704,29.31509096,NA,NA,NA,NA,NA,NA,NA
32.077499,31.807501,31.969999,31.805,141628800,29.26663,32.34629994,32.11715016,32.09004992,31.8494001,184213944,29.32791826,NA,NA,NA,NA,NA,NA,NA
31.955,31.9275,31.65,31.6,218867600,28.973688,32.35249994,32.12645016,32.09024994,31.85810008,185992576,29.330511,NA,NA,NA,NA,NA,NA,NA
32.014999,31.872499,31.9025,31.77,136157200,29.204836,32.35674992,32.13415016,32.09279994,31.86720006,185500680,29.33526538,NA,NA,NA,NA,NA,NA,NA
31.9025,31.870001,31.7575,31.719999,121075600,29.072098,32.35194988,32.1297002,32.09369994,31.86855004,185012984,29.33850448,NA,NA,NA,NA,NA,NA,NA
32.450001,31.8025,32.0275,31.780001,221123600,29.319269,32.3644999,32.1307502,32.10274992,31.87460004,187393488,29.34919394,NA,NA,NA,NA,NA,NA,NA
32.299999,32.215,31.875,31.875,127752400,29.179665,32.3748499,32.14300018,32.10634992,31.88205002,187630904,29.35490356,NA,NA,NA,NA,NA,NA,NA
31.997499,31.9175,31.6875,31.627501,176267200,29.008015,32.37929988,32.14995018,32.10924992,31.88405004,188886728,29.35996056,NA,NA,NA,NA,NA,NA,NA
31.6175,31.365,31.1325,31.120001,196645600,28.499947,32.38094988,32.14950016,32.10814992,31.88415006,188663080,29.36132878,NA,NA,NA,NA,NA,NA,NA
31.530001,31.3925,31.3575,31.215,177482800,28.705923,32.37094992,32.14950016,32.09729992,31.88260006,188448392,29.35382572,NA,NA,NA,NA,NA,NA,NA
31.735001,31.725,31.65,31.497499,120955200,28.973688,32.36464996,32.14350012,32.0957499,31.87920004,188272688,29.354823,NA,NA,NA,NA,NA,NA,NA
31.672501,31.6075,31.610001,31.442499,108844000,28.937071,32.35375,32.14070014,32.08484994,31.87645002,187437208,29.34729362,NA,NA,NA,NA,NA,NA,NA
31.557501,31.235001,31.5,31.2125,112241600,28.836372,32.33280002,32.12390014,32.06649994,31.86000002,186020368,29.3329642,NA,NA,NA,NA,NA,NA,NA
31.5375,31.4725,31.422501,30.942499,187787200,28.765427,32.3104,32.10090012,32.04354996,31.83270002,186214040,29.31443546,NA,NA,NA,NA,NA,NA,NA
31.16,31.120001,30.6425,30.635,243046400,28.05138,32.26794998,32.06175016,31.99315,31.78965006,183318632,29.27082294,NA,NA,NA,NA,NA,NA,NA
31.014999,30.9625,30.0175,29.805,314380000,27.479229,32.21555,32.00870012,31.94070002,31.73790002,180092312,29.22529384,NA,NA,NA,NA,NA,NA,NA
30.9625,30.485001,30.82,30.3025,245418000,28.213871,32.17685002,31.96760012,31.91390002,31.70245,179929784,29.2032093,NA,NA,NA,NA,NA,NA,NA
31.440001,31.2575,31.415001,31.08,165762000,28.75856,32.16245004,31.94955012,31.91645004,31.70115,176589392,29.20792644,NA,NA,NA,NA,NA,NA,NA
31.592501,31.51,31.4025,31.26,127072400,28.747114,32.14365004,31.94925012,31.89975006,31.69984998,174449832,29.19509368,NA,NA,NA,NA,NA,NA,NA
31.7875,31.43,31.705,31.395,134596800,29.02404,32.12655,31.93035012,31.89035008,31.68645,173062704,29.18893908,NA,NA,NA,NA,NA,NA,NA
32.142502,31.934999,32.127499,31.8375,144889600,29.410812,32.12715006,31.92830014,31.90390004,31.6943,172018784,29.20373842,NA,NA,NA,NA,NA,NA,NA
32.404999,32.27,32.404999,32.077499,184658800,29.664848,32.14150004,31.94090016,31.92695,31.71904998,169940680,29.2272196,NA,NA,NA,NA,NA,NA,NA
33.2425,32.7425,33.017502,32.674999,235600800,30.225552,32.17595004,31.97190018,31.96100002,31.75244998,171137424,29.25839022,NA,NA,NA,NA,NA,NA,NA
33.23,33.212502,32.6875,32.580002,307025600,29.923454,32.20245002,32.00275022,31.97665,31.77350002,172833904,29.27271684,NA,NA,NA,NA,NA,NA,NA
31.375,30.497499,31.305,30.497499,461802400,28.657864,32.19215004,31.9757502,31.97115,31.75530002,178707088,29.26768194,NA,NA,NA,NA,NA,NA,NA
31.772499,31.549999,31.290001,31.264999,203998000,28.644133,32.19320004,31.97875018,31.9676,31.7565,178934248,29.26443224,NA,NA,NA,NA,NA,NA,NA
31.434999,31.33,31.125,30.975,168649200,28.493084,32.18595,31.97460018,31.96004998,31.74664998,179531696,29.2575207,NA,NA,NA,NA,NA,NA,NA
